	size	noverlap	hg_fdr	fej_fdr	ks_fdr
GO:0006612	159	12	0.98547490279183	1	0.715994310723754
GO:0006605	283	26	0.847799541041711	0.916184266822345	0.292280868254732
GO:0006606	99	16	0.0577408280400514	0.096750588648539	0.340438172460974
GO:0006641	79	12	0.135708997690793	0.218426211680145	0.922596478238304
GO:0006644	369	50	0.0326683592965658	0.0454258550415415	0.908187780455709
GO:0006643	186	15	0.958022944999978	1	0.773228197936103
GO:0006637	88	1	1	1	0.202025847240584
GO:0006638	95	15	0.077262643429418	0.127118787339704	0.960701589996105
GO:0006635	57	6	0.625974149130646	0.803597853043581	0.160426022994154
GO:0006636	50	10	0.0376610554396762	0.0774018435742256	0.53251318745735
GO:0006639	94	14	0.125208515130226	0.196701523410857	0.945422764669727
GO:0006650	297	44	0.0109966099389678	0.0165961501323033	0.660903735417987
GO:0006613	100	1	1	1	0.666109689689705
GO:0006614	92	1	1	1	0.847794514498224
GO:0006633	114	13	0.461060898778378	0.590722710282288	0.658999144616337
GO:0006631	304	40	0.077262643429418	0.104486894688938	0.613390681012722
GO:0043627	74	36	1.94570148337933e-16	9.25698400166594e-16	0.444334841847762
GO:0043620	69	20	2.03046276405532e-05	5.81636362904294e-05	0.620382884750959
GO:0043624	122	4	1	1	0.250560344591519
GO:0006687	70	3	1	1	0.103908288362468
GO:0043623	361	60	0.00017496548422742	0.000292028303640975	0.852440342674536
GO:0006690	95	15	0.077262643429418	0.127118787339704	0.876293962235241
GO:0006694	109	12	0.523061130936511	0.657416750991511	0.480751566672822
GO:0043632	439	63	0.00525772554988773	0.00765093155449721	0.425357234219389
GO:0031623	52	18	3.53708593805213e-06	1.20674627581153e-05	0.000289933728045689
GO:0043648	100	6	1	1	0.759374473991628
GO:0043647	52	12	0.00765023653043996	0.0178346766542527	0.703460270590294
GO:0006661	110	17	0.0726857037318874	0.11669912407986	0.311312103653607
GO:0006664	106	3	1	1	0.216488621334487
GO:0006665	147	14	0.750002871674643	0.855485510415778	0.835595663426493
GO:0006672	77	5	0.988807766600053	1	0.703460270590294
GO:0016050	301	82	1.45590834056824e-16	3.94931956559022e-16	0.104122283139539
GO:0016051	118	13	0.516739517137403	0.645180268179412	0.784164027263716
GO:0016052	116	6	1	1	0.480751566672822
GO:0016053	261	24	0.840587407486606	0.911903211997455	0.246991447487752
GO:0016054	217	14	1	1	0.95785580598118
GO:0016055	342	89	1.51548066398055e-16	3.94165248611384e-16	0.050056993978348
GO:0031668	171	47	3.63967930359432e-10	9.89732705896899e-10	0.122337373392528
GO:0031669	146	39	2.76267812729154e-08	7.30516097873721e-08	0.0623179455282577
GO:0016042	253	27	0.522795010782935	0.613668948701422	0.945169400897639
GO:0031667	351	110	2.55681472335338e-27	7.8702845264182e-27	0.0914129981599505
GO:0016049	132	42	2.20612867538813e-11	6.9296129907896e-11	0.138653903617092
GO:0043604	309	15	1	1	0.797443373488272
GO:0016032	434	81	1.18630213188182e-07	2.2006446223788e-07	0.194383365643367
GO:0043618	64	20	5.95101043901625e-06	1.83008228314981e-05	0.458793523875992
GO:0031647	219	67	1.88179947568229e-16	5.73077017539056e-16	0.14260695531355
GO:0031644	66	30	6.06419764503053e-13	2.68850386496889e-12	0.094481113593028
GO:0031589	140	39	7.96607632116476e-09	2.19272747252228e-08	0.0711650252492503
GO:0031570	91	17	0.0143463304661753	0.0272692637500558	0.929907936783813
GO:0043543	163	20	0.283327012951794	0.372499694634346	0.884458559497764
GO:0043542	54	21	5.3786726123599e-08	2.05241717599638e-07	0.149654989562334
GO:0006721	104	16	0.083268887878853	0.133533894089459	0.350506667769391
GO:0006720	123	18	0.0993379673374693	0.152331548342141	0.539902288383227
GO:0006732	264	12	1	1	0.224723968493492
GO:0006733	108	6	1	1	0.303035337680602
GO:0006766	120	13	0.542699861867378	0.669982534205349	0.565582524542398
GO:0090092	206	78	1.88268594602396e-25	7.01909528039125e-25	0.0160840516407275
GO:0006767	87	7	0.896417838741386	0.98972836731213	0.356793524020322
GO:0090087	203	101	2.41710707212327e-45	1.17545524014148e-44	0.000165880926753931
GO:0006753	408	35	0.975572436502836	1	0.774392795208183
GO:0090090	164	47	7.82747363243231e-11	2.22998809637975e-10	0.39183739180607
GO:0006749	60	15	0.00124386080461444	0.00309468542441747	0.743571332190681
GO:0016125	124	20	0.0361795718770806	0.0600062140600448	0.986628931102118
GO:0006790	366	30	1	1	0.54992483991408
GO:0016101	94	16	0.0383044694145216	0.0673113676157138	0.245964155035197
GO:0065004	181	19	0.578188099223221	0.683040027361159	0.828432003073437
GO:0065002	52	3	0.993594281678818	1	0.862579833228625
GO:0016072	265	8	1	1	0.629281232488944
GO:0016073	84	2	1	1	0.820476715553296
GO:0090068	240	61	2.94401778336196e-11	7.42987802565962e-11	0.40784248831311
GO:0090066	382	112	4.07441932226058e-25	1.18655785259166e-24	0.17436286189117
GO:0090002	94	23	9.08334361884178e-05	0.000220814825705863	0.14545566307371
GO:0006402	201	13	1	1	0.746058820947177
GO:0006400	70	1	1	1	0.69374233284467
GO:0006401	228	15	1	1	0.704587327490401
GO:0006413	143	4	1	1	0.390947377246232
GO:0006414	113	0	1	1	0.680736609305283
GO:0006412	208	8	1	1	0.769696721813188
GO:0006406	102	5	1	1	0.168743097505026
GO:0006405	116	6	1	1	0.373296597610322
GO:0006446	74	15	0.0102307368926587	0.0210248272103378	0.489290073966996
GO:0006457	227	23	0.646932755199758	0.740928195643061	0.213487963357843
GO:0043406	213	74	1.28273611038651e-21	4.43885222374007e-21	0.0495576430914044
GO:0043405	321	113	3.81835422368696e-33	1.33690661915519e-32	0.000339019144416917
GO:0043407	71	33	1.86615333139676e-14	8.44985914815341e-14	0.0101256815880249
GO:0043409	146	73	3.68044081525486e-33	1.7848157491321e-32	0.00358518411760878
