id	symbol	chr	strand	nprots	ntrans	SV	WT	SV_prots	WT_prots	min_skipped_exon	max_skipped_exon	min_skipped_bases	max_skipped_bases
ENSG00000108523	RNF167	17	+	11	16	4844289:4845636	4844289:4844372|4844453:4845636	ENSP00000460991	ENSP00000262482|ENSP00000458375|ENSP00000458794|ENSP00000459324|ENSP00000459581|ENSP00000460190	1	1	81	81
ENSG00000011143	MKS1	17	-	12	15	56292200:56295981	56292200:56293449|56293605:56294027|56294098:56295981	ENSP00000462129	ENSP00000316631|ENSP00000338407|ENSP00000376827|ENSP00000442096	2	2	227	227
ENSG00000104904	OAZ1	19	+	6	13	2269744:2271781	2269744:2271384|2269744:2271390|2269744:2271384|2271439:2271443|2271442:2271443|2271530:2271781	ENSP00000467452	ENSP00000314813|ENSP00000463955|ENSP00000464146|ENSP00000473381	2	2	139	145
ENSG00000270517	RDM1	HG385_PATCH	-	14	14	34252657:34257651	34252657:34257095|34257275:34257651	ENSP00000474580	ENSP00000473994|ENSP00000474257|ENSP00000474510|ENSP00000474637|ENSP00000475050|ENSP00000475136	1	1	180	180
ENSG00000185585	OLFML2A	9	+	3	3	127549518:127561564	127549518:127557303|127557411:127561564	ENSP00000336425	ENSP00000362682	1	1	108	108
ENSG00000262236	TTYH1	HSCHR19LRC_PGF1_CTG1	+	8	18	54863531:54864386	54863531:54864123|54864179:54864386	ENSP00000458692	ENSP00000458519|ENSP00000459937|ENSP00000460401	1	1	56	56
ENSG00000268946	ATRX	HG1426_PATCH	-	4	8	76949882:76957531	76949882:76954778|76954892:76957531	ENSP00000468915	ENSP00000472963	1	1	114	114
ENSG00000154646	TMPRSS15	21	-	3	3	19751636:19755944	19751636:19752857|19752902:19755944	ENSP00000284885	ENSP00000398253	1	1	45	45
ENSG00000140464	PML	15	+	18	22	74317269:74325497	74317269:74324913|74325057:74325497	ENSP00000315434|ENSP00000455838|ENSP00000456329|ENSP00000457023|ENSP00000457032|ENSP00000457669	ENSP00000268058|ENSP00000268059|ENSP00000378567|ENSP00000394642|ENSP00000395576|ENSP00000455612|ENSP00000456486|ENSP00000458061	1	1	144	144
ENSG00000164535	DAGLB	7	-	7	12	6465746:6472468	6465746:6470111|6470239:6472468	ENSP00000391171|ENSP00000408928|ENSP00000411746	ENSP00000297056|ENSP00000404785|ENSP00000416046	1	1	128	128
ENSG00000073969	NSF	17	+	8	9	44704079:44714742	44704079:44707777|44707817:44714742	ENSP00000461448	ENSP00000381293|ENSP00000458184|ENSP00000458221	1	1	40	40
ENSG00000120662	MTRF1	13	-	4	10	41791365:41797392	41791365:41794673|41794780:41797392	ENSP00000368790|ENSP00000368793	ENSP00000400031	1	1	107	107
ENSG00000170954	ZNF415	19	-	22	29	53613162:53619566	53613162:53618463|53618561:53618957|53618561:53619566|53619065:53619566	ENSP00000243643|ENSP00000439435|ENSP00000470410|ENSP00000471386	ENSP00000388787|ENSP00000395055|ENSP00000396492	1	2	98	206
ENSG00000033122	LRRC7	1	+	8	13	70505477:70518709	70505477:70509637|70509778:70518709	ENSP00000309245	ENSP00000035383|ENSP00000394867	1	1	141	141
ENSG00000126001	CEP250	20	+	10	14	34096020:34099192	34096020:34096772|34096874:34097827|34097884:34099192	ENSP00000395992	ENSP00000341541|ENSP00000380661	2	2	159	159
ENSG00000082438	COBLL1	2	-	13	25	165557267:165560954	165557267:165559614|165559731:165560954	ENSP00000364607|ENSP00000387326	ENSP00000194871|ENSP00000341360|ENSP00000376478	1	1	117	117
ENSG00000146426	TIAM2	6	+	16	23	155571104:155572047	155571104:155571672|155571759:155572047	ENSP00000275246|ENSP00000327315|ENSP00000353528|ENSP00000356142|ENSP00000407183|ENSP00000434901|ENSP00000435335|ENSP00000437188	ENSP00000407746|ENSP00000433348	1	1	87	87
ENSG00000198089	SFI1	22	+	14	31	31974439:31979861	31974439:31976258|31976351:31979861	ENSP00000402679|ENSP00000443025	ENSP00000383145|ENSP00000383146|ENSP00000397148|ENSP00000401199|ENSP00000405541|ENSP00000416469	1	1	93	93
ENSG00000078596	ITM2A	X	-	2	6	78618637:78622602	78618637:78618920|78619052:78622602	ENSP00000415533	ENSP00000362395	1	1	132	132
